_last_touched_dt_utc,approval_process,description,object_type,object_type_id,register_upon_approval
2024-10-31 01:27:06.813333+05:30,f,Action Step,AS  ,262144,f
2024-10-31 01:27:06.813333+05:30,f,Assessment,ASMT,128,f
2024-10-31 01:27:06.813333+05:30,t,Section,BLCK,256,f
2024-10-31 01:27:06.813333+05:30,t,Connect Block,CBLK,8388608,f
2024-10-31 01:27:06.813333+05:30,t,Connect Item,CITM,4194304,f
2024-10-31 01:27:06.813333+05:30,f,Online Class,CRSE,1,f
2024-10-31 01:27:06.813333+05:30,t,Connect Topic,CTPC,16777216,f
2024-10-31 01:27:06.813333+05:30,f,External Content,EC  ,512,f
2024-10-31 01:27:06.813333+05:30,f,Event,EVNT,2,f
2024-10-31 01:27:06.813333+05:30,f,Evaluation Test,EVTS,131072,f
2024-10-31 01:27:06.813333+05:30,f,External Training,EXTL,8192,f
2026-01-10 19:45:53.36+05:30,t,File Upload,FILE,4096,f
2024-10-31 01:27:06.813333+05:30,f,Form,FORM,1048576,f
2026-03-14 16:47:02.37+05:30,f,Journey,JRNY,16908416,f
2024-10-31 01:27:06.813333+05:30,f,Library,LIBR,16384,f
2024-10-31 01:27:06.813333+05:30,t,Material,MTRL,524288,f
2024-10-31 01:27:06.813333+05:30,f,Note,NOTE,2097152,f
2024-10-31 01:27:06.813333+05:30,f,Observation Checklist,OBCK,33554432,f
2024-10-31 01:27:06.813333+05:30,t,Objective,OBJ ,1024,f
2024-10-31 01:27:06.813333+05:30,f,Online Content,OLCO,1073741824,f
2024-10-31 01:27:06.813333+05:30,f,Playlist,PLST,536870912,f
2026-03-14 16:47:02.37+05:30,f,Poll,POLL,8519680,f
2024-10-31 01:27:06.813333+05:30,t,Discussion,POST,16,f
2024-10-31 01:27:06.813333+05:30,f,Curriculum,PRGM,8,f
2026-03-14 16:47:02.37+05:30,f,Pathway,PTWY,16778368,f
2024-10-31 01:27:06.813333+05:30,t,Q&A,QA  ,32,f
2026-03-14 16:47:02.37+05:30,f,Quiz,QUIZ,25165824,f
2024-10-31 01:27:06.813333+05:30,f,Quick Course,SCO ,4,f
2024-10-31 01:27:06.813333+05:30,f,Session,SESN,2048,f
2024-10-31 01:27:06.813333+05:30,t,Cohort,SLCH,268435456,t
2024-10-31 01:27:06.813333+05:30,t,Program,SLPG,134217728,t
2024-10-31 01:27:06.813333+05:30,f,Test,TEST,64,f
2024-10-31 01:27:06.813333+05:30,t,Topic,TOPC,32768,f
2026-03-14 16:47:02.37+05:30,f,Text Card,TXTC,25165952,f
2026-03-14 16:47:02.37+05:30,f,Uploaded Content,UPCT,16778240,f
2024-10-31 01:27:06.813333+05:30,t,Online Resource,URL ,65536,f
2024-10-31 01:27:06.813333+05:30,t,Video,VID ,67108864,t
2026-03-14 16:47:02.37+05:30,f,Web URL,WURL,1152,f
